particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
121,0.025,255,0,255,255,255,37.185,62.026,0.403,6.35,255,NaN,NaN,100,1275,1.788,0.559,0.556,no
122,0.06,233.75,73.612,255,0,255,58.925,62.287,0.579,13.97,255,-3.015,7.091,91.667,2805,2.435,0.411,0.706,no
123,0.025,255,0,255,255,255,58.794,62.506,0.491,6.35,255,NaN,NaN,100,1275,2.136,0.468,0.667,no
124,0.015,255,0,255,255,255,79.571,62.445,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
125,0.015,255,0,255,255,255,80.653,62.845,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
126,0.015,255,0,255,255,255,80.017,63.198,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
127,0.03,255,0,255,255,255,66.209,63.821,0.589,7.62,255,NaN,NaN,100,1530,1.541,0.649,0.6,no
128,0.015,255,0,255,255,255,85.357,63.762,0.967,3.81,255,NaN,NaN,100,765,3,0.333,1,no
129,0.025,255,0,255,255,255,95.703,63.974,0.491,6.35,255,NaN,NaN,100,1275,1.665,0.601,0.556,no
130,0.015,255,0,255,255,255,100.672,64.656,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
131,0.02,255,0,255,255,255,51.218,64.891,0.457,5.08,255,NaN,NaN,100,1020,1.517,0.659,0.571,no
132,0.035,255,0,255,255,255,51.17,65.224,0.375,8.89,255,NaN,NaN,100,1785,1.673,0.598,0.583,no
133,0.05,255,0,255,255,255,49.951,65.343,0.194,12.7,255,NaN,NaN,100,2550,1.529,0.654,0.435,no
134,0.015,255,0,255,255,255,100.742,65.197,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
135,0.02,255,0,255,255,255,84.546,65.685,0.698,5.08,255,NaN,NaN,100,1020,1.637,0.611,0.727,no
136,0.015,255,0,255,255,255,85.993,65.691,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
137,0.015,255,0,255,255,255,84.44,65.879,0.524,3.81,255,NaN,NaN,100,765,4.123,0.243,0.6,no
138,0.015,255,0,255,255,255,50.706,65.95,0.967,3.81,255,NaN,NaN,100,765,3,0.333,1,no
